note,duration,octave,part,measure,chord,lyrics,track,pitch,tags
b_,2,4,B,32,,maa,Melody,B-4,
a,4,4,B,33,F,ro,Melody,A4,
f,1,4,B,33,,too,Melody,F4,
f,1,4,B,33,,ye,Melody,F4,
g,2,4,B,33,,khoo,Melody,G4,
a,4,4,B,34,F,ne,Melody,A4,
c,1,5,B,34,,ne,Melody,C5,
b_,1,4,B,34,,mi,Melody,B-4,
a,2,4,B,34,,khas,Melody,A4,
g,4,4,B,35,Gm,tan,Melody,G4,
r,1,NA,B,35,,,Melody,NA,
d,1,5,B,35,,go,Melody,D5,
d,1,5,B,35,,laa,Melody,D5,
d,1,5,B,35,,moo,Melody,D5,
d,1,5,B,36,Gm,no,Melody,D5,
b_,3,4,B,36,,ja,Melody,B-4,
a,1,4,B,36,,go,Melody,A4,
g,3,4,B,36,,zash,Melody,G4,
e_,4,5,B,37,Cm,tim,Melody,C5,
a,1,4,B,37,,naa,Melody,A4,
b_,1,4,B,37,,ye,Melody,B-4,
c,2,5,B,37,,mosh,Melody,C5,
c,4,5,B,38,D7,ti,Melody,C5,
c,1,5,B,38,,aa,Melody,C5,
f,1,5,B,38,,laa,Melody,F5,
e_,2,5,B,38,,fe,Melody,E-5,
d,4,5,B,39,Gm,harz,Melody,D5,
d,1,5,B,39,,se,Melody,D5,
d,1,5,B,39,,daa,Melody,D5,
d,2,5,B,39,,shoon,Melody,D5,
r,2,NA,B,40,Gm,,Melody,NA,
d,1,5,B,40,,too,Melody,D5,
g,2,5,B,40,,goo,Melody,G5,
g,1,5,B,40,,she,Melody,G5,
f,2,5,B,40,,moon,Melody,F5,
e_,4,5,B,41,Cm,bood,Melody,E-5,
a,1,4,B,41,,vagh,Melody,A4,
b_,1,4,B,41,,ti,Melody,B-4,
c,2,5,B,41,,rad,Melody,C5,
c,4,5,B,42,D7,mi,Melody,C5,
d,1,5,B,42,,sho,Melody,D5,
b_,1,4,B,42,,dim,Melody,B-4,
a,2,4,B,42,,az,Melody,A4,
g,4,4,B,43,Gm,marz,Melody,G4,
d,1,5,B,43,,maa,Melody,D4,
d,1,5,B,43,,ro,Melody,D4,
d,2,5,B,43,,boo,Melody,D4,tie
d,2,5,B,44,Gm,,Melody,D4,
d,2,5,B,44,,si,Melody,D4,
g,1,5,B,44,,da,Melody,G4,
g,1,5,B,44,,no,Melody,G4,
f,2,5,B,44,,gof,Melody,F4,
e_,4,5,B,45,Cm,tan,Melody,E-4,
e_,1,5,B,45,,bo,Melody,E-4,
f,1,5,B,45,,ro,Melody,F4,
g,2,5,B,45,,be,Melody,G4,
a,1,5,B,46,F,o,Melody,A4,
a,4,5,B,46,,mi,Melody,A4,
g,1,5,B,46,,de,Melody,G4,
f,2,5,B,46,,di,Melody,F4,
g,4,5,B,47,Gm,daar,Melody,G4,
d,1,5,B,47,,zi,Melody,D4,
d,1,5,B,47,,re,Melody,D4,
d,2,5,B,47,,lab,Melody,D4,
r,2,,B,48,Gm,,Melody,NA,
d,1,5,B,48,,do,Melody,D4,
g,2,5,B,48,,aa,Melody,G4,
g,1,5,B,48,,mi,Melody,G4,
f,2,5,B,48,,kar,Melody,F4,
e_,4,5,B,49,Cm,dim,Melody,E-4,
c,1,6,B,49,,na,Melody,D4,
b_,1,5,B,49,,ba,Melody,B-4,
a,2,5,B,49,,she,Melody,A4,tie
a,2,5,B,50,F,,Melody,A4,
a,1,5,B,50,,in,Melody,A4,
c,2,6,B,50,,aa,Melody,D5,
b_,1,5,B,50,,kha,Melody,G5,
a,2,5,B,50,,rin,Melody,B-5,
g,4,5,B,51,Gm,baar,Melody,G5,
r,4,NA,B,51,,,Melody,NA,
d,1,5,C,52,Gm,,Melody,,
b_,1,5,C,52,,,Melody,,
a,1,5,C,52,,,Melody,,
g,1,5,C,52,,,Melody,,
d,1,5,C,52,,,Melody,,
b_,1,5,C,52,,,Melody,,
a,1,5,C,52,,,Melody,,
g,1,5,C,52,,,Melody,,
c,1,5,C,53,F,,Melody,,
a,1,5,C,53,,,Melody,,
g,1,5,C,53,,,Melody,,
f,1,5,C,53,,,Melody,,
c,1,5,C,53,,,Melody,,
a,1,5,C,53,,,Melody,,
g,1,5,C,53,,,Melody,,
f,1,5,C,53,,,Melody,,
d,1,5,C,54,Gm,,Melody,,
b_,1,5,C,54,,,Melody,,
a,1,5,C,54,,,Melody,,
g,1,5,C,54,,,Melody,,
d,1,5,C,54,,,Melody,,
b_,1,5,C,54,,,Melody,,
a,1,5,C,54,,,Melody,,
g,1,5,C,54,,,Melody,,
c,1,5,C,55,F,,Melody,,
a,1,5,C,55,,,Melody,,
g,1,5,C,55,,,Melody,,
f,1,5,C,55,,,Melody,,
c,1,5,C,55,,,Melody,,
a,1,5,C,55,,,Melody,,
g,1,5,C,55,,,Melody,,
f,1,5,C,55,,,Melody,,
d,1,5,C,56,Gm,,Melody,,
b_,1,5,C,56,,,Melody,,
a,1,5,C,56,,,Melody,,
b_,1,5,C,56,,,Melody,,
d,1,6,C,56,,,Melody,,
b_,1,5,C,56,,,Melody,,
a,1,5,C,56,,,Melody,,
b_,1,5,C,56,,,Melody,,
c,1,5,C,57,F,,Melody,,
a,1,5,C,57,,,Melody,,
g,1,5,C,57,,,Melody,,
a,1,5,C,57,,,Melody,,
c,1,6,C,57,,,Melody,,
a,1,5,C,57,,,Melody,,
g,1,5,C,57,,,Melody,,
f,1,5,C,57,,,Melody,,
d,1,5,C,58,Gm,,Melody,,
b_,1,5,C,58,,,Melody,,
a,1,5,C,58,,,Melody,,
b_,1,5,C,58,,,Melody,,
d,1,6,C,58,,,Melody,,
b_,1,5,C,58,,,Melody,,
a,1,5,C,58,,,Melody,,
b_,1,5,C,58,,,Melody,,
c,1,5,C,59,F,,Melody,,
a,1,5,C,59,,,Melody,,
g,1,5,C,59,,,Melody,,
a,1,5,C,59,,,Melody,,
c,1,6,C,59,,,Melody,,
a,1,5,C,59,,,Melody,,
g,1,5,C,59,,,Melody,,
f,1,5,C,59,,,Melody,,
g,1.5,5,C,60,Gm,,Melody,,
a,0.5,5,C,60,,,Melody,,
g,1,5,C,60,,,Melody,,
f,1,5,C,60,,,Melody,,
g,1,5,C,60,,,Melody,,
a,1,5,C,60,,,Melody,,
g,1,5,C,60,,,Melody,,
f,1,5,C,60,,,Melody,,
g,8,5,C,61,Gm,,Melody,,
r,4,,D,62,,,Melody,,
d,1,4,D,62,,in,Melody,,
e_,1,4,D,62,,jaa,Melody,,
d,2,4,D,62,,ke,Melody,,
r,2,,D,63,Gm,,Melody,,
